mysql: [Warning] Using a password on the command line interface can be insecure.
emp_id	emp_name	dept_id	dept_id	dept_name
001	石田	10	13	営業
001	石田	10	12	開発
001	石田	10	11	人事
001	石田	10	10	総務
002	小笠原	11	13	営業
002	小笠原	11	12	開発
002	小笠原	11	11	人事
002	小笠原	11	10	総務
003	夏目	11	13	営業
003	夏目	11	12	開発
003	夏目	11	11	人事
003	夏目	11	10	総務
004	米田	12	13	営業
004	米田	12	12	開発
004	米田	12	11	人事
004	米田	12	10	総務
005	釜本	12	13	営業
005	釜本	12	12	開発
005	釜本	12	11	人事
005	釜本	12	10	総務
006	岩瀬	12	13	営業
006	岩瀬	12	12	開発
006	岩瀬	12	11	人事
006	岩瀬	12	10	総務
